file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,103,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,4
style.css,104,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,1,17
style.css,105,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,1,10
style.css,106,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,1,17
style.css,107,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,0
style.css,108,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,0
style.css,109,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,0
style.css,110,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,22
style.css,111,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,1,15
style.css,112,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,1,17
style.css,113,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,114,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,1,5
style.css,115,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,2,17
style.css,116,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,1,0
style.css,117,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,118,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,119,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,2
style.css,120,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,1,14
style.css,121,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,122,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,123,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,2
style.css,124,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,1,14
style.css,125,css,e882f30b,Bryan Cruz,2025-10-10,11:30:20,-07:00,2025-10-10T11:30:20-07:00,0,0
style.css,126,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,127,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,6
style.css,128,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,1,14
style.css,129,css,8d7ccc7e,Bryan Cruz,2025-10-17,19:50:12,-07:00,2025-10-17T19:50:12-07:00,1,16
style.css,130,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,131,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,132,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,6
style.css,133,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,1,14
style.css,134,css,1f6537c4,Bryan Cruz,2025-10-10,21:30:20,-07:00,2025-10-10T21:30:20-07:00,1,24
style.css,135,css,1f6537c4,Bryan Cruz,2025-10-10,21:30:20,-07:00,2025-10-10T21:30:20-07:00,1,15
style.css,136,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,137,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,138,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,6
style.css,139,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,1,14
style.css,140,css,8d7ccc7e,Bryan Cruz,2025-10-17,19:50:12,-07:00,2025-10-17T19:50:12-07:00,1,16
style.css,141,css,1f6537c4,Bryan Cruz,2025-10-10,21:30:20,-07:00,2025-10-10T21:30:20-07:00,1,15
style.css,142,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,143,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,144,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,6
style.css,145,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,1,20
style.css,146,css,59cb4a7a,Bryan Cruz,2025-10-10,21:25:14,-07:00,2025-10-10T21:25:14-07:00,0,0
style.css,147,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,148,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,17
style.css,149,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,12
style.css,150,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,36
style.css,151,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,15
style.css,152,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,17
style.css,153,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,154,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,155,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,17
style.css,156,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,16
style.css,157,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,10
style.css,158,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,159,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,160,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,17
style.css,161,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,8
style.css,162,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,1,10
style.css,163,css,93c5186a,Bryan Cruz,2025-10-24,22:56:53,-07:00,2025-10-24T22:56:53-07:00,0,0
style.css,164,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,0
style.css,165,css,6fa15512,bscruzin,2025-10-31,21:19:23,-07:00,2025-10-31T21:19:23-07:00,0,18
